titulo_ci,precio_ci
Vino tinto Dehesa del Carrizal Cabernet Sauvignon,16
Vino palo cortado Apóstoles González Byass Muy Viejo Jerez,36
Vino dulce Pedro Ximénez Muy Viejo de la Casa Ximénez-Spínola Jerez,64
Cava Mastinell Brut Rosè Reserva,19
Vino blanco de Valencia Impromptu Sauvignon Blanc,20
Vino blanco Milmanda Conca de Barberà,65
Vino blanco Chardonnay Flor D'Espiells Juve & Camps Penedés,18
Vino tinto Juan Gil etiqueta plata Jumilla Magnum,29
Cava Brut Reserva Parxet,13
Espumoso de baja graduación Moscato Ochoa MdO Navarra,17
Vino tinto Montecastro Ribera del Duero,24
Vino blanco Godello The Orange Republic The Wine Gurus Valdeorras,16
Vino Dulce de Jerez Oloros solera 1842 Valdespino Jerez,29
Vino tinto Bruto Monastrell Jumilla Juan Gil,"39,59"
Vinto tinto MMM Macho Man Monastrell The Wine Gurus Jumilla,"19,37,18,14,18,11,24"
Vino tinto Bucamel Tierra de Castilla,15
Vino tinto Syrah Hacienda Zorita,"15,16"
Vino blanco José Pariente Sauvignon Blanc Rueda,10
Vino tinto Mácula Navarra,14
Vino blanco Acústic Montsant,12
Vino fino La Bota Nº 68 Equipo Navazos Jerez,33
Vino blanco albariño Maio 5 de Lagar de Costa DO Rias Baixas,26
Vino tinto Reina de los Deseos Madrid Comando G Uvas Felices,64
Vino tinto Vetas Selección Sierras de Málaga,34
Vino tinto Suerte del Rey Selección Extremadura,12
Vino dulce maestro viña Axarkía Moscatel,9
Vino tinto Tolo do Xisto Ribeira Sacra,16
Vino tinto Morlanda Vi de Guarda crianza Priorat,25
Cava Gran Reserva de Paraje Can Sala Freixenet,69
Vino blanco fermentado en barrica Tomás Postigo Castilla y León,21
Vino tinto Val Llach I dus Priorato,33
Vino tinto Avancia Valdeorras,31
Vino blanco Los Loros sobre lías Valle de Güímar,21
Vino tinto Clos Martinet Priorato,69
Vino tinto F.Schatz Sierras de Málaga,28
Vino tinto Abadía de Poblet Conca de Barberá,
Vino tinto Viña Pomal 106 barricas reserva Edición Limitada Rioja magnum,
Vino blanco Val de Nairoa Ribeiro,14
Vino blanco Tagonius Blanc Madrid,8
Vino blanco monovarietal Macabeu Augustus Penedés,"14,4"
Vino tinto Las Gundiñas La Vizcaína El Bierzo Raúl Pérez,19
Vino tinto La Poulosa La Vizcaína El Bierzo Raúl Pérez,19
Vino blanco Abadía de Poblet Conca de Barberá,
Vino tinto La Cueva del Contador Rioja,77
Vino tinto Marqués de Riscal Gran Reserva Rioja Alavesa,46
Vino tinto Dido La Universal Montsant,16
Brut Reserva At Roca Penedés,15
Vino blanco Finca Río Negro Gewurztraminer Guadalajara,13
Vino tinto Nekeas Crianza Navarra,7
Vinto tinto MMM Macho Man Monastrell The Wine Gurus Jumilla Magnum,"37,18,14,18,11,24"
Vino fino Tío Pepe Una Palma Jerez,16
Vino tinto Las Moradas de San Martin libro siete Las Luces Madrid,
Vino tinto Finca Caiz Carrizal Syrah,16
Vino tinto La Bruja de Rozas ecológico garnacha Madrid Comando G,"18,18"
Vino tinto Grans Muralles Conca de Barberá,169
Vino tinto crianza Casa de la Ermita Petit Verdot Magnum Jumilla,29
Vino tinto cataluña Coca i Fitó DO Montsant,32
Vino Fino Amontillado El Tresillo Jerez-Xérès-Sherry,29
Cava Gran Reserva Casa Sala Freixenet,39
Vino blanco Jaspi d'Or,16
Vino tinto ecológico Finca el Molar Syrah Manchuela,11
Vino tinto La Garnacha de Mustiguillo El Terrerazo,"15,4"
Vino tinto Les Crestes Priorato,17
Vino tinto Laderas de Inurrieta Navarra,29
Vino tinto Martinet Bru Garnacha y Syrah Priorato,26
Vino tinto Gran Reserva 904 La Rioja Alta Magnum,98
Cava Reserva especial Chardonnay Rimarts,22
Vino oloroso Don Gonzalo Valdespino Jerez,29
Vino tinto Alión 2015 Ribera del Duero Tempos Vega Sicilia magnum,149
"Vinos tintos Priorato, Montsant y Penedés - Guigo, Brunus y L'Anec Mut Negre",
Vino blanco Món Montesanco Macabeo Utiel-Requena,10
Vino blanco Dos Claveles Montilla Moriles,8
Cava rosé Gran Reserva brut nature AA Mirgin Laietà,19
Vino blanco Pardoxin Prada a Tope Bierzo,21
Vino blanco Enric Soler Penedés,27
Vino tinto Numanthia Toro magnum,84
Vino tinto ¡EA! Tierra de Castilla,9
Vino rosado Haru de Casa Rojo Jumilla,15
Vino Tinto Cabernet Franc de Pago Chozas Carrascal,35
Vino tinto El Rapolao La Vizcaína El Bierzo,19
Vino tinto ecológico La Felisa Emilio Moro Ribera del Duero,28
Vino tinto Malleolus de Sancho Martín Ribera del Duero,115
Vino blanco Nekeas Chardonnay Cuveé Allier Navarra,11
Vino tinto Dehesa del Carrizal Petit Verdot,25
Vino tinto Predicador Rioja,26
Vino Palo Cortado Marqués de Poley Toro Albalá Jerez-Xérès-Sherry,99
Vino fino Jarana Lustau solera reserva Jerez,10
Vino blanco El Gordo del Circo The Wine Gurus Rueda,"11,37,18,14,18,24"
Vino dulce Pedro Ximénez Antique Fernando de Castilla Jerez,34
Vino blanco Envidia Cochina albariño Rías Baixas,18
Vino tinto Clos Mogador Priorato,78
Vino tinto La Garnacha Salvaje del Moncayo,8
Vino blanco La Comtesse Rías Baixas,36
Vino blanco Sanclodio Ribeiro,"10,24"
Vino tinto La Plazuela Tierra de Castilla,33
Vino blanco Allende Rioja,18
Vino tinto Marqués de Griñón Emeritus Valdepusa,58
Vino tinto Castillejos Calvente Andalucía,22
Vino blanco Capitel Ossian,49
Vino tinto  Clos Fontá Priorato,54
Vino tinto Áster Finca El Otero Ribera del Duero,36
Vino tinto Iohannes Juvé y Camps,37
Vino rosado Acrollam Mallorca,13
Vino tinto de Cota 830 Reserva Valencia,17
Vino dulce Pedro Ximénez Vieja Solera Vors 30 años Díez del Mérito Jerez,64
Vino tinto Ánima Negra Mallorca,43
Vino rosado Marqués de Murrieta Primer Rosé Rioja,29
Vino blanco Exceptional Harvas de la Casa Ximénez-Spínola Jerez,19
Vino tinto crianza Pago de Tharsys Utiel-Requena,13
Vino fino 3 en rama de Jerez de la Frontera Lustau,16
Vino tinto Porrera Vi de Vila del Vall Llach Priorato,44
Vino tinto varietal Sinesquema Jumilla,16
Vino manzanilla pasada Pastrana Manzanilla-Sanlúcar de Barrameda,15
Vinos blanco albariño La Viña de Leyre Rías Baixas,13
Vino tinto Mencía Ladrón Bierzo Casa Rojo,22
Vino tinto Dominio de Tares Cepas Viejas Mencía Bierzo Magnum,
Cava Mestres Visol Gran Reserva brut nature,19
Vino tinto Erre Punto Rioja,14
Vino tinto Monastrell 100% Ecológico Lavia,36
Vino Fino Pedro Ximénez 12 años Bertola Jerez-Xérès-Sherry,15
Vino semidulce Corona CVNE Rioja,16
Vino tinto Barbazúl Vino de la Tierra de Cádiz,12
Vino tinto Taberner Nº 1 Cádiz,75
Vino dulce Cristal·lí Alicante,11
Vino tinto de Pago Finca Terrerazo,25
Cava Mastinell Reserva Especial Brut Nature Carpe Diem,20
Vino blanco El Jardín de Lucia albariño Rías Baixas,15
Vino blanco Marqués de Alella Allier,18
Vino tinto Cyan Prestigio Toro,27
Vino tinto Malpaso Méntrida,12
Vino blanco Gramona Vi de Glass Gewürztraminer,19
Vino tinto Chivite Colección 125 Reserva Navarra,25
Vinto tinto Número Nueve Ribera del Queiles,12
Vino tinto Matarromera Prestigio 2011 Ribera del Duero,54
Vino tinto Brezo de Grégory Pérez Mencía Bierzo,9
Vino tinto Cirsion Rioja 2012,179
Vino tinto Contador Rioja 2012,279
